id,latitude,longitude,num_bus_2km,num_subway_2km,num_shop_2km,nearest_shop(m),num_restaurant_2km,neighbourhood_cleansed,room_type,accommodates,baths,beds,days,amenities,price,future_occupancy
52992700,49.28999,-123.12849,216,7,151,209.6691583271343,564,Downtown,Entire home/apt,2,1.0,1,3721,17,131.0,0.633
44650727,49.28037,-123.0985,273,9,168,180.31006843719447,460,Downtown Eastside,Entire home/apt,2,1.0,1,2186,13,180.0,1.0
16016323,49.28292,-123.12441,262,8,170,87.2011129032632,630,West End,Entire home/apt,2,1.0,1,2380,18,250.0,1.0
45522008,49.28668,-123.13184,217,7,154,138.13937484805115,573,West End,Entire home/apt,6,2.0,3,1052,9,175.0,1.0
24000674,49.25269,-123.12462,187,3,184,575.3336437675143,202,South Cambie,Entire home/apt,2,1.0,1,3331,19,78.0,1.0
34787711,49.26463,-123.09915,263,6,180,196.1131266016848,338,Mount Pleasant,Entire home/apt,3,1.0,1,3770,18,210.0,1.0
47099540,49.28958,-123.12644,222,7,156,166.92925381497218,569,Downtown,Entire home/apt,3,1.0,1,900,17,109.0,0.967
25553897,49.28251,-123.11578,305,9,167,69.08932314098818,647,Downtown,Entire home/apt,4,1.0,2,1254,20,135.0,0.233
174135,49.27857,-123.0899,244,6,169,331.643789796305,315,Downtown Eastside,Entire home/apt,2,1.0,2,3765,16,90.0,1.0
39094363,49.27498,-123.11787,358,10,162,234.15614999197746,692,Downtown,Entire home/apt,3,1.0,1,765,20,100.0,1.0
2592307,49.25222,-123.1186,189,3,187,325.11808585001177,227,South Cambie,Entire home/apt,2,1.0,2,2790,18,112.0,0.8
43390617,49.27697,-123.12755,308,9,159,67.52245113341989,735,Downtown,Private room,2,1.0,1,648,17,240.0,0.067
51471464,49.27999,-123.12461,294,9,168,58.94148666329232,701,Downtown,Entire home/apt,2,1.0,1,897,20,144.0,0.8
22659967,49.26146,-123.12623,231,4,172,448.5910474244021,385,Fairview,Entire home/apt,2,1.0,1,1579,18,108.0,0.733
50229369,49.27468,-123.12471,348,10,161,92.49610725879751,751,Downtown,Entire home/apt,2,1.0,1,154,18,150.0,0.8
52516564,49.280945,-123.124832,287,9,168,36.84561526789239,671,Downtown,Entire home/apt,4,1.0,2,3263,19,150.0,0.167
51353091,49.28842,-123.13156,209,7,150,192.0663372378779,539,West End,Entire home/apt,6,1.5,2,1555,19,485.0,0.6
35015830,49.21122,-123.10464,93,2,67,850.946410590439,25,Sunset,Entire home/apt,6,1.0,3,1022,20,176.0,0.833
52530555,49.25913,-123.07796,204,4,179,575.8231626397832,221,Mount Pleasant,Private room,2,0.5,1,474,10,58.0,0.8
48868217,49.28631,-123.12278,240,7,162,129.50443256267022,612,Downtown,Entire home/apt,4,2.0,3,1127,10,260.0,0.033
2988185,49.28884,-123.13288,203,6,144,136.25101662581244,517,West End,Entire home/apt,4,1.0,3,3825,14,95.0,0.5
30914254,49.28159,-123.10816,291,9,166,109.9120585602576,563,Downtown Eastside,Entire home/apt,3,1.0,1,2115,14,149.0,1.0
34024042,49.28227,-123.12364,270,9,171,93.81417359510407,635,Downtown,Entire home/apt,5,2.0,3,932,20,244.0,0.467
37779949,49.2543,-123.09456,213,3,186,417.0504125316161,243,Riley Park,Entire home/apt,6,1.0,3,845,19,150.0,0.433
23482505,49.25985,-123.12793,221,4,172,262.3890649903081,333,Fairview,Entire home/apt,2,1.0,1,1579,19,105.0,0.3
32160848,49.27603,-123.11703,359,10,162,151.1972746960569,680,Downtown,Entire home/apt,2,1.0,1,1142,13,129.0,1.0
40121641,49.27592,-123.11488,350,10,164,76.1354995601485,675,Downtown,Entire home/apt,3,1.0,2,2113,20,126.0,0.267
52385276,49.27922,-123.10629,315,10,162,104.518960186862,596,Downtown,Entire home/apt,4,1.0,2,2265,16,243.0,0.133
12065039,49.26469,-123.10397,277,7,180,228.48494522389865,395,Mount Pleasant,Entire home/apt,7,2.0,2,2349,12,151.0,0.0
